Category,SubCategory,Certification Name,Level,Job Role
Digital Marketing,Digital Marketing,Email Marketing Certification,Foundation,HR Executive
Digital Marketing,Digital Marketing,Email Marketing Certification,Associate,Digital Marketing Executive
Digital Marketing,Digital Marketing,Email Marketing Certification,Professional,Network Engineer
Digital Marketing,Digital Marketing,Email Marketing Certification,Advanced,ERP Consultant
Digital Marketing,Digital Marketing,Social Media Marketing Certification,Foundation,Software Developer
Digital Marketing,Digital Marketing,Social Media Marketing Certification,Associate,Senior Developer
Digital Marketing,Digital Marketing,Social Media Marketing Certification,Professional,Tech Lead
Digital Marketing,Digital Marketing,Social Media Marketing Certification,Advanced,AI Engineer
Networking,Networking,CCNA Certification,Foundation,ML Engineer
Networking,Networking,CCNA Certification,Associate,Data Scientist
Networking,Networking,CCNA Certification,Professional,Data Analyst
Networking,Networking,CCNA Certification,Advanced,MIS Executive
Networking,Networking,CCNP Certification,Foundation,Project Manager
Networking,Networking,CCNP Certification,Associate,Business Analyst
Networking,Networking,CCNP Certification,Professional,DevOps Engineer
Networking,Networking,CCNP Certification,Advanced,Cloud Engineer
Networking,Networking,Network Administration Certification,Foundation,Security Analyst
Networking,Networking,Network Administration Certification,Associate,QA Engineer
Networking,Networking,Network Administration Certification,Professional,Banking Professional
Networking,Networking,Network Administration Certification,Advanced,Finance Analyst
Networking,Networking,Wireless Networking Certification,Foundation,HR Executive
Networking,Networking,Wireless Networking Certification,Associate,Digital Marketing Executive
Networking,Networking,Wireless Networking Certification,Professional,Network Engineer
Networking,Networking,Wireless Networking Certification,Advanced,ERP Consultant
UI/UX,UI/UX,UI Design Certification,Foundation,Software Developer
UI/UX,UI/UX,UI Design Certification,Associate,Senior Developer
UI/UX,UI/UX,UI Design Certification,Professional,Tech Lead
UI/UX,UI/UX,UI Design Certification,Advanced,AI Engineer
UI/UX,UI/UX,UX Design Certification,Foundation,ML Engineer
UI/UX,UI/UX,UX Design Certification,Associate,Data Scientist
UI/UX,UI/UX,UX Design Certification,Professional,Data Analyst
UI/UX,UI/UX,UX Design Certification,Advanced,MIS Executive
UI/UX,UI/UX,Figma Certification,Foundation,Project Manager
UI/UX,UI/UX,Figma Certification,Associate,Business Analyst
UI/UX,UI/UX,Figma Certification,Professional,DevOps Engineer
UI/UX,UI/UX,Figma Certification,Advanced,Cloud Engineer
UI/UX,UI/UX,Adobe XD Certification,Foundation,Security Analyst
UI/UX,UI/UX,Adobe XD Certification,Associate,QA Engineer
UI/UX,UI/UX,Adobe XD Certification,Professional,Banking Professional
UI/UX,UI/UX,Adobe XD Certification,Advanced,Finance Analyst
UI/UX,UI/UX,User Research Certification,Foundation,HR Executive
UI/UX,UI/UX,User Research Certification,Associate,Digital Marketing Executive
UI/UX,UI/UX,User Research Certification,Professional,Network Engineer
UI/UX,UI/UX,User Research Certification,Advanced,ERP Consultant
